mirnaid,refseqid,genesymbol,duplex,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-1321,NM_001288749,TMPRSS5,..(((((((..(((((..&)))))..))))))).,1252,1267,1.0,-18.5,1,0.03089874,0.441,0.9169591428571428,1.5972743174999997,-9.02428166311082,12,15,7,3UTR,MIRT451969,0,0
hsa-miR-1321,NM_001288750,TMPRSS5,..(((((((..(((((..&)))))..))))))).,1459,1474,1.0,-18.5,1,0.03089874,0.441,2.618502714285715,1.6764516824999995,-9.02428166311082,12,15,7,3UTR,MIRT451969,0,0
hsa-miR-1321,NM_001288751,TMPRSS5,..(((((((..(((((..&)))))..))))))).,1666,1681,1.0,-18.5,1,0.03089874,0.441,3.070220285714286,2.4770397099999997,-9.02428166311082,12,15,7,3UTR,MIRT451969,0,0
hsa-miR-1321,NM_001288752,TMPRSS5,..(((((((..(((((..&)))))..))))))).,1355,1370,1.0,-18.5,1,0.03089874,0.441,1.1676701428571428,2.06820241,-9.02428166311082,12,15,7,3UTR,MIRT451969,0,0
hsa-miR-1321,NM_001300765,LETMD1,(((((((((((.......&)))))))).))).,1277,1290,1.0,-16.1,1,0.002051935,0.618,-0.10486000000000002,0.11089885625000007,-10.39884692653892,11,13,8,3UTR,MIRT474183,0,0
hsa-miR-1321,NM_001300795,UBE2D3,.((((((((((((.....&.)))))))))))).,716,761,1.0,-19.6,1,0.8479043,0.662,1.8003557916666668,1.4636137499999997,-5.618663395431772,12,14,12,3UTR,MIRT737380,0,1
hsa-miR-1321,NM_001301129,POLR2F,((((((((((........&)))))))))).,818,829,1.0,-17.9,1,0.09915626,0.382,-0.11974828,1.00482445625,-13.223621401949268,10,11,10,3UTR,MIRT503647,0,0
hsa-miR-1321,NM_001302378,RBSN,((((((((((...((...&))...)))))))))).,4265,4281,1.0,-20.5,1,0.001024086,0.456,0.507968186,0.5079687947499999,-11.631331924178227,12,16,10,3UTR,MIRT762518,0,0
hsa-miR-1321,NM_001317921,BCL2L1,(((((((((.........&))))))))).,1366,1376,1.0,-18.3,1,0.006185508,0.515,0.5839816888888888,1.2456304774999998,-14.466127870277449,9,10,9,3UTR,MIRT737314,0,1
hsa-miR-1321,NM_030770,TMPRSS5,..(((((((..(((((..&)))))..))))))).,1562,1577,1.0,-18.5,1,0.03089874,0.441,1.1676701428571428,2.06820241,-9.02428166311082,12,15,7,3UTR,MIRT451969,0,0
hsa-miR-1321,NM_030964,SPRY4,..((((((((..(((...&))).)))))))).,2273,2286,1.0,-19.0,1,0.0001524599,0.456,1.8829587500000002,1.59819895125,-11.361627584682608,11,13,8,3UTR,MIRT737372,0,1
hsa-miR-1321,NM_031220,PITPNM3,((((((((.(((((((((&)))))))))...)))))))).,5197,5218,1.0,-22.5,1,0.008992911,0.426,1.4776923333333332,3.383456781749999,-4.993964104447428,17,21,9,3UTR,MIRT453491,0,1
hsa-miR-1321,NM_032752,ZNF496,((((((((((((((....&.)))))))))))))).,4714,4742,1.0,-21.8,1,0.004582244,0.529,1.9553398571428569,1.320660595,-4.906073086755913,14,16,14,3UTR,MIRT737382,0,0
hsa-miR-1321,NM_033046,RTKN,.((((((((....((((.&))))....)))))))).,2440,2457,1.0,-19.9,1,0.0003948302,0.426,1.29918885,1.8623063374999997,-12.496539703358245,12,17,8,3UTR,MIRT489923,0,1
hsa-miR-1321,NM_033089,ZCCHC3,(((((((.(((((((...&)))))))...))))))).,2290,2308,1.0,-20.1,1,4.995873e-05,0.412,-0.536741857142857,0.14718245125,-6.484258455685908,14,18,7,3UTR,MIRT083277,0,0
hsa-miR-1321,NM_130798,SNAP23,((((((((((...((...&))...)))))))))).,1264,1280,1.0,-20.1,1,0.001926741,0.397,0.6533986799999999,0.477823865,-11.631331924178227,12,16,10,3UTR,MIRT461826,0,0
hsa-miR-1321,NM_133496,SLC30A7,((((((((((((.(((..&))))))))))))))).,7857,7873,1.0,-24.0,1,0.1094795,0.618,0.6136075499999999,0.36325829412499994,-5.226705058867908,15,16,15,3UTR,MIRT057832,0,0
hsa-miR-1321,NM_138573,NRG4,...(((((((...(((((&))))).......))))))).,2310,2330,1.0,-16.4,1,0.08346866,0.559,-0.1883276142857143,0.028929406250000005,-13.975248591351688,12,20,7,3UTR,MIRT454400,0,0
hsa-miR-1321,NM_138728,ST7L,((((((((.(.((((...&)))).))))))))).,3315,3330,1.0,-16.7,1,1.687951e-05,0.412,1.4178358749999997,3.9562806125000005,-8.051787660161391,13,15,9,3UTR,MIRT488594,0,0
hsa-miR-1321,NM_138777,MRRF,((((((((((((.(((..&))).)))))))))))).,7861,7878,1.0,-24.1,1,0.04075713,0.426,-0.3122331666666667,-0.09182586999999999,-5.226705058867908,15,17,12,3UTR,MIRT762514,0,0
hsa-miR-1321,NM_145117,NAV2,.((((((((.(..(((((&)))))..).)))))))).,8397,8415,1.0,-19.4,1,0.01906527,0.588,2.1493089375,1.2069734737499997,-9.671765227947896,14,18,8,3UTR,MIRT483635,0,1
hsa-miR-1321,NM_152244,SNX11,((((((((.(((.(.(((&))))))).)))))))).,2045,2062,1.0,-18.6,1,0.08140334,0.441,0.5031758375,0.6215626524999999,-7.018544277364306,15,17,8,3UTR,MIRT737370,0,0
hsa-miR-1321,NM_152263,TPM3,..(((((((....(((..&)))....))))))).,3181,3196,1.0,-17.6,1,0.003825218,0.368,-0.49613871428571427,-0.27866741274999995,-13.660215585373416,10,15,7,3UTR,MIRT465379,0,0
hsa-miR-1321,NM_152384,BBS5,(((((((((.........&))))))))).,1549,1559,1.0,-17.3,1,0.02059576,0.397,0.0879378888888889,0.23704763749999985,-14.466127870277449,9,10,9,3UTR,MIRT737313,0,0
hsa-miR-1321,NM_153827,MINK1,((((((((.(((......&))).)))))))).,4319,4332,1.0,-18.6,1,0.003033989,0.426,0.5999343874999999,1.2581307225,-8.108433275188325,11,13,8,3UTR,MIRT473214,0,0
hsa-miR-1321,NM_170663,MINK1,((((((((.(((......&))).)))))))).,4232,4245,1.0,-18.6,1,0.003033989,0.426,0.5999343874999999,1.2581307225,-8.108433275188325,11,13,8,3UTR,MIRT473214,0,0
hsa-miR-1321,NM_173595,ANKRD52,(((((((..(((.(((..&))).)))...))))))).,6690,6708,1.0,-18.9,1,0.009970683,0.397,3.969108857142857,2.8160927325000005,-8.596729646294301,13,18,7,3UTR,MIRT737310,0,1
hsa-miR-1321,NM_173672,PPIL6,(((((((((.........&.))))))))).,2577,2590,1.0,-18.4,1,0.09760893,0.412,0.4604907111111111,1.1397586324999998,-14.466127870277449,9,11,9,3UTR,MIRT762517,0,0
hsa-miR-1321,NM_178001,PTPA,((((((((((........&.)))))))))).,2275,2293,1.0,-21.4,1,0.227496,0.471,-1.00320439,-0.42215654999999996,-13.223621401949268,10,12,10,3UTR,MIRT737357,0,0
hsa-miR-1321,NM_178511,INAFM1,((((((((((((......&.)))))))))))).,750,772,1.0,-23.5,1,0.109828,0.441,-0.7495833333333334,0.17305000000000004,-7.052043616942562,12,14,12,3UTR,MIRT737335,0,0
hsa-miR-1321,NM_181886,UBE2D3,.((((((((((((.....&.)))))))))))).,1237,1274,1.0,-19.6,1,0.8479043,0.662,1.2390925000000002,1.71741112375,-5.618663395431772,12,14,12,3UTR,MIRT737380,0,1
hsa-miR-1321,NM_181888,UBE2D3,.((((((((((((.....&.)))))))))))).,886,923,1.0,-19.6,1,0.8479043,0.662,1.2791267500000003,0.183174705,-5.618663395431772,12,14,12,3UTR,MIRT737380,0,1
hsa-miR-1321,NM_181889,UBE2D3,.((((((((((((.....&.)))))))))))).,901,946,1.0,-19.6,1,0.8479043,0.662,0.20009214166666667,0.32856969624999993,-5.618663395431772,12,14,12,3UTR,MIRT737380,0,1
hsa-miR-1321,NM_181890,UBE2D3,.((((((((((((.....&.)))))))))))).,845,890,1.0,-19.6,1,0.8479043,0.662,0.15436990833333333,0.7606410987499999,-5.618663395431772,12,14,12,3UTR,MIRT737380,0,1
hsa-miR-1321,NM_181891,UBE2D3,.((((((((((((.....&.)))))))))))).,789,834,1.0,-19.6,1,0.8479043,0.662,1.2974142666666666,0.8271664274999997,-5.618663395431772,12,14,12,3UTR,MIRT737380,0,1
hsa-miR-1321,NM_181893,UBE2D3,.((((((((((((.....&.)))))))))))).,693,738,1.0,-19.6,1,0.8479043,0.662,1.827788083333333,1.25718049875,-5.618663395431772,12,14,12,3UTR,MIRT737380,0,1
hsa-miR-1321,NM_182507,KRT80,((((((((((((.(.((.&.))).)))))))))))).,2271,2299,1.0,-23.9,1,0.004827877,0.426,0.20187920000000004,-0.2825237625,-5.962154619118543,15,18,12,3UTR,MIRT489809,0,1
hsa-miR-1321,NM_182964,NAV2,.((((((((.(..(((((&)))))..).)))))))).,8406,8424,1.0,-19.4,1,0.01906527,0.588,2.1493089375,1.2069734737499997,-9.671765227947896,14,18,8,3UTR,MIRT483635,0,1
hsa-miR-1321,NM_199177,MRRF,((((((((((((.(((..&))).)))))))))))).,7701,7718,1.0,-24.1,1,0.04075713,0.426,-0.3122331666666667,-0.09182586999999999,-5.226705058867908,15,17,12,3UTR,MIRT762514,0,0
hsa-miR-1321,XM_005268676,KRT80,((((((((((((.(.((.&.))).)))))))))))).,2352,2380,1.0,-23.9,1,0.004827877,0.426,0.0,0.0,-5.962154619118543,15,18,12,3UTR,MIRT489809,0,1
hsa-miR-1321,XM_005268676,KRT80,((((((((((..((.((.&))))..)))))).)))).,3334,3352,1.0,-19.6,1,0.03157776,0.5,0.0,0.0,-10.844601791459004,14,18,6,3UTR,MIRT489809,0,1
hsa-miR-1321,XM_006711334,MEF2D,(((((((((((.......&))).)))))))).,2053,2066,1.0,-18.8,1,0.001108093,0.412,0.0,0.0,-10.39884692653892,11,13,8,3UTR,MIRT737342,0,1
hsa-miR-1321,XM_006712385,CLASP1,(((((((((.........&.))))))))).,6294,6307,1.0,-17.9,1,4.648122e-06,0.382,0.0,0.0,-14.466127870277449,9,11,9,3UTR,MIRT487078,0,1
hsa-miR-1321,XM_006719294,MLXIP,(((((((((((.((.((.&))))..))))))))))).,3665,3683,1.0,-20.4,1,0.0007717619,0.456,0.0,0.0,-8.019827316048655,15,18,11,3UTR,MIRT473116,0,0
hsa-miR-1321,XM_006719335,LETMD1,(((((((((((.......&)))))))).))).,1499,1512,1.0,-16.1,1,0.002051935,0.618,0.0,0.0,-10.39884692653892,11,13,8,3UTR,MIRT474183,0,0
hsa-miR-1321,XM_006721536,MINK1,((((((((.(((......&))).)))))))).,4295,4308,1.0,-18.6,1,0.003033989,0.426,0.0,0.0,-8.108433275188325,11,13,8,3UTR,MIRT473214,0,0
hsa-miR-1321,XM_006724584,IQSEC2,(((.((((((..((((..&))))..)))))).))).,5592,5609,1.0,-21.3,1,0.001206684,0.397,0.0,0.0,-13.14117450616756,13,17,6,3UTR,MIRT487972,0,1
hsa-miR-1321,XM_011520444,NAV2,..(((((((((.((((..&)))).))))))))).,9366,9381,1.0,-21.2,1,0.02428031,0.441,0.0,0.0,-8.303804028968646,13,15,9,3UTR,MIRT483635,0,1
hsa-miR-1321,XM_011520444,NAV2,.((((((((.(..(((((&)))))..).)))))))).,8562,8580,1.0,-19.4,1,0.01906527,0.588,0.0,0.0,-9.671765227947896,14,18,8,3UTR,MIRT483635,0,1
hsa-miR-1321,XM_017008584,UBE2D3,.((((((((((((.....&.)))))))))))).,1053,1098,1.0,-19.6,1,0.8479043,0.662,0.0,0.0,-5.618663395431772,12,14,12,3UTR,MIRT737380,0,1
hsa-miR-1321,XM_017021834,RGS6,((((((((((.((((((.&.)))))))))))))))).,1439,1468,1.0,-25.7,1,0.002231788,0.441,0.0,0.0,-6.7623489216120145,16,18,16,3UTR,MIRT495512,0,0
hsa-miR-1321,XM_017027993,BCL2L1,(((((((((.........&))))))))).,1261,1271,1.0,-18.3,1,0.006185508,0.515,0.0,0.0,-14.466127870277449,9,10,9,3UTR,MIRT737314,0,1
hsa-miR-1321,XM_017029359,IQSEC2,(((.((((((..((((..&))))..)))))).))).,5516,5533,1.0,-21.3,1,0.001206684,0.397,0.0,0.0,-13.14117450616756,13,17,6,3UTR,MIRT487972,0,1
hsa-miR-1321,NM_014938,MLXIP,(((((((((((.((.((.&))))..))))))))))).,4479,4497,1.0,-20.4,1,0.0007717619,0.456,-0.03557236363636363,-0.026351436749999985,-8.019827316048655,15,18,11,3UTR,MIRT473116,0,0
hsa-miR-1321,NM_014954,RPH3A,((((((((((........&)))))))))).,4471,4482,1.0,-20.3,1,0.2595674,0.412,-0.43048522,0.14339206750000008,-13.223621401949268,10,11,10,3UTR,MIRT570543,0,1
hsa-miR-1321,NM_015259,ICOSLG,(((((((((((.......&.))))))))))).,3022,3049,1.0,-21.7,1,0.005510493,0.338,-0.41267335454545456,-0.17333347375,-10.39884692653892,11,13,11,3UTR,MIRT475389,0,0
hsa-miR-1321,NM_015416,LETMD1,(((((((((((.......&)))))))).))).,1649,1662,1.0,-16.1,1,0.002051935,0.618,-0.10486000000000002,0.11089885625000007,-10.39884692653892,11,13,8,3UTR,MIRT474183,0,0
hsa-miR-1321,NM_015553,IPCEF1,(((((((((.........&.))))))))).,5619,5632,1.0,-18.6,1,7.383222e-05,0.441,3.173258888888889,3.983138760250001,-14.466127870277449,9,11,9,3UTR,MIRT667860,0,0
hsa-miR-1321,NM_015704,DESI1,...((((((..((((((.&))))))..)))))).,2472,2487,1.0,-19.9,1,0.06455523,0.588,1.1410073333333333,0.7413736689999999,-10.581821137417268,12,15,6,3UTR,MIRT670930,0,0
hsa-miR-1321,NM_015704,DESI1,(((((((((((..(((((&)))))))))))))))).,3257,3274,1.0,-18.8,1,0.0132669,0.515,4.955925818181817,5.16509093,-8.573508368464264,16,17,16,3UTR,MIRT670930,0,0
hsa-miR-1321,NM_016022,APH1A,.((((((((((.......&.)))))))))).,1224,1266,1.0,-19.7,1,0.1216184,0.353,3.3580005999999996,3.572039315,-10.254597317694373,10,12,10,3UTR,MIRT481745,0,0
hsa-miR-1321,NM_016248,AKAP11,..(((((((((.......&.))))))))).,7186,7201,1.0,-18.5,1,0.8827828,0.338,0.25811811111111116,-0.23778882225000003,-11.418273199709544,9,11,9,3UTR,MIRT494820,0,0
hsa-miR-1321,NM_016545,IER5,((((((((((((.(((((&))))))))))))))))).,3954,3972,1.0,-20.8,1,0.06773266,0.574,0.1344035,-0.00924902125,-5.226705058867908,17,18,17,3UTR,MIRT762513,0,0
hsa-miR-1321,NM_016732,RALY,(((((((((((.......&.))))))))))).,3433,3461,1.0,-20.2,1,6.652057e-05,0.456,0.29997831181818185,0.03448043437500001,-10.39884692653892,11,13,11,3UTR,MIRT737359,0,0
hsa-miR-1321,NM_017443,POLE3,..(((((((((.......&))))))))).,1402,1412,1.0,-18.7,1,0.008745342,0.5,0.1469992222222222,0.40299928000000007,-11.418273199709544,9,10,9,3UTR,MIRT737354,0,0
hsa-miR-1321,NM_017744,ST7L,((((((((.(.((((...&)))).))))))))).,3408,3423,1.0,-16.7,1,1.687951e-05,0.412,1.4178358749999997,3.9562806125000005,-8.051787660161391,13,15,9,3UTR,MIRT488594,0,0
hsa-miR-1321,NM_017774,CDKAL1,..(((((((....((((.&))))....))))))).,3119,3135,1.0,-15.9,1,0.07831657,0.441,-0.06296857142857144,-0.0029820762500000117,-13.660215585373416,11,16,7,3UTR,MIRT681767,0,0
hsa-miR-1321,NM_020354,ENTPD7,..(((((((....(((..&)))....))))))).,3887,3902,1.0,-17.7,1,0.0009356932,0.471,-0.17246415714285712,-0.06584170125000005,-13.660215585373416,10,15,7,3UTR,MIRT477399,0,0
hsa-miR-1321,NM_020772,NUFIP2,((((((((((...((...&))...)))))))))).,7198,7214,1.0,-20.5,1,0.001656735,0.397,1.0474476,1.4031114250000003,-11.631331924178227,12,16,10,3UTR,MIRT471849,0,0
hsa-miR-1321,NM_020960,GPR107,(((((((((((((((...&))))))))))))))).,6536,6552,1.0,-20.5,1,2.026953e-05,0.544,0.29759646666666667,0.4647259925,-4.1706235265052785,15,16,15,3UTR,MIRT488139,0,1
hsa-miR-1321,NM_021916,ZNF70,((((((((((........&)))))))))).,1903,1914,1.0,-19.1,1,0.1978501,0.412,-0.13712429999999998,-0.14223949249999998,-13.223621401949268,10,11,10,3UTR,MIRT484860,0,0
hsa-miR-1321,NM_021974,POLR2F,((((((((((........&)))))))))).,720,731,1.0,-17.9,1,0.09915626,0.382,-0.11974828,1.00482445625,-13.223621401949268,10,11,10,3UTR,MIRT503647,0,0
hsa-miR-1321,NM_022767,AEN,((((((((((........&)))))))))).,1654,1665,1.0,-21.0,1,0.01376403,0.485,-0.42945674999999994,-0.24750628124999996,-13.223621401949268,10,11,10,3UTR,MIRT482400,0,0
hsa-miR-1321,NM_022833,NIBAN2,.((((((((((.......&)))))))))).,3459,3470,1.0,-19.5,1,0.1815926,0.456,3.3599218,4.079366966249999,-10.254597317694373,10,11,10,3UTR,MIRT737328,0,1
